ChangeID,timestamp,record_id,column_changed,old_value,new_value,feedback_source,notes,changed_by,RuleAction
674,2025-06-04T12:12:02.847422,NYC_GOID_000392,PrincipalOfficerFamilyName,,Chacon,System_NameParseRule,Parsed from: 'Guillermo Chacon',MyName_Phase6_SupplementalAndGlobalRun,name_parse_success
675,2025-06-04T12:12:02.847451,NYC_GOID_000393,PrincipalOfficerName_ParseReview,None/Empty,N/A,System_NameParseRule,PrincipalOfficerName is empty or invalid (None/Empty). Cannot parse into name parts.,MyName_Phase6_SupplementalAndGlobalRun,name_parse_review_needed
676,2025-06-04T12:12:02.847480,NYC_GOID_000394,PrincipalOfficerName_ParseReview,None/Empty,N/A,System_NameParseRule,PrincipalOfficerName is empty or invalid (None/Empty). Cannot parse into name parts.,MyName_Phase6_SupplementalAndGlobalRun,name_parse_review_needed
677,2025-06-04T12:12:02.847527,NYC_GOID_000395,PrincipalOfficerFullName,,Matilde B. Sanchez,System_NameParseRule,Copied from PrincipalOfficerName,MyName_Phase6_SupplementalAndGlobalRun,name_parse_success
678,2025-06-04T12:12:02.847591,NYC_GOID_000395,PrincipalOfficerGivenName,,Matilde,System_NameParseRule,Parsed from: 'Matilde B. Sanchez',MyName_Phase6_SupplementalAndGlobalRun,name_parse_success
679,2025-06-04T12:12:02.847616,NYC_GOID_000395,PrincipalOfficerMiddleNameOrInitial,,B.,System_NameParseRule,Parsed from: 'Matilde B. Sanchez',MyName_Phase6_SupplementalAndGlobalRun,name_parse_success
680,2025-06-04T12:12:02.847640,NYC_GOID_000395,PrincipalOfficerFamilyName,,Sanchez,System_NameParseRule,Parsed from: 'Matilde B. Sanchez',MyName_Phase6_SupplementalAndGlobalRun,name_parse_success
681,2025-06-04T12:12:02.847694,NYC_GOID_000396,PrincipalOfficerFullName,,Jumaane Williams,System_NameParseRule,Copied from PrincipalOfficerName,MyName_Phase6_SupplementalAndGlobalRun,name_parse_success
682,2025-06-04T12:12:02.847740,NYC_GOID_000396,PrincipalOfficerGivenName,,Jumaane,System_NameParseRule,Parsed from: 'Jumaane Williams',MyName_Phase6_SupplementalAndGlobalRun,name_parse_success
683,2025-06-04T12:12:02.847765,NYC_GOID_000396,PrincipalOfficerFamilyName,,Williams,System_NameParseRule,Parsed from: 'Jumaane Williams',MyName_Phase6_SupplementalAndGlobalRun,name_parse_success
684,2025-06-04T12:12:02.847817,NYC_GOID_000397,PrincipalOfficerFullName,,Sreoshy Banerjea,System_NameParseRule,Copied from PrincipalOfficerName,MyName_Phase6_SupplementalAndGlobalRun,name_parse_success
685,2025-06-04T12:12:02.847863,NYC_GOID_000397,PrincipalOfficerGivenName,,Sreoshy,System_NameParseRule,Parsed from: 'Sreoshy Banerjea',MyName_Phase6_SupplementalAndGlobalRun,name_parse_success
